iter,total,mask_weight,mask_raw,mask_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,54.33189010620117,0.0,1.72186173585942e-05,0.0,20.0,0.0,0.0,20.0,2.312964744926491e-17,4.625929489852982e-16,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3743782043457031,0.0,500.0,0.10866378247737885,54.33189123868942,0.0,0.007584012113511562,0.0,0.0,0.09146330505609512,0.0,0.0,0.0,0.0
2,51.8522834777832,0.0,1.6755215256125666e-05,0.0,20.0,1.000053771349485e-06,2.00010754269897e-05,20.0,1.802354631763592e-06,3.604709263527184e-05,10.0,9.998782388720429e-07,9.998782388720429e-06,25.0,9.999996564147295e-07,2.499999141036824e-05,0.007503751875937969,0.0,0.0,0.0,0.37368983030319214,0.0,500.0,0.1037042960524559,51.85214802622795,0.0,0.007438907865434885,0.0,0.0005002501250625312,0.09120407700538635,4.562485092815725e-05,0.0,0.0,0.0
3,49.441001892089844,0.0,1.635967055335641e-05,0.0,20.0,4.000294211436994e-06,8.000588422873989e-05,20.0,7.0676505856681615e-06,0.00014135301171336323,10.0,3.997392013843637e-06,3.997392013843637e-05,25.0,3.9945698517840356e-06,9.986424629460089e-05,0.015007503751875938,0.0,0.0,0.0,0.3729536831378937,0.0,500.0,0.09888109564781189,49.440547823905945,0.0,0.007296012714505196,0.0,0.0010005002501250625,0.09095104783773422,9.099654611078961e-05,0.0,0.0,0.0
4,47.097755432128906,0.0,1.5980394891812466e-05,0.0,20.0,9.000961654237472e-06,0.00018001923308474943,20.0,1.5787178199389018e-05,0.00031574356398778036,10.0,8.98628422874026e-06,8.98628422874026e-05,25.0,8.969236660050228e-06,0.0002242309165012557,0.022511255627813906,0.0,0.0,0.0,0.3720923960208893,0.0,500.0,0.09419362246990204,47.09681123495102,0.0,0.0071572912856936455,0.0,0.0015007503751875938,0.09076637774705887,0.00013621767545831745,0.0,0.0,0.0
5,44.822540283203125,0.0,1.5653240552637726e-05,0.0,20.0,1.600292671355419e-05,0.00032005853427108377,20.0,2.797682464006357e-05,0.0005595364928012714,10.0,1.5954503396642394e-05,0.00015954503396642394,25.0,1.5900408470770344e-05,0.0003975102117692586,0.030015007503751877,0.0,0.0,0.0,0.3714179992675781,0.0,500.0,0.08964183926582336,44.82091963291168,0.0,0.007019431795924902,0.0,0.002001000500250125,0.09058224409818649,0.0001812551157542501,0.0,0.0,0.0
6,42.61481857299805,0.0,1.5389692634926178e-05,0.0,20.0,2.500710979802534e-05,0.0005001421959605068,20.0,4.365303902886808e-05,0.0008730607805773616,10.0,2.488273457856849e-05,0.0002488273457856849,25.0,2.4753479010541923e-05,0.0006188369752635481,0.03751875937968985,0.0,0.0,0.0,0.3708314597606659,0.0,500.0,0.0852247104048729,42.61235520243645,0.0,0.006880773231387138,0.0,0.0025012506253126563,0.090398870408535,0.00022611023113690596,0.0,0.0,0.0
7,40.474609375,0.0,1.5212908692774363e-05,0.0,20.0,3.601482239901088e-05,0.0007202964479802176,20.0,6.28309790045023e-05,0.001256619580090046,10.0,3.574236689019017e-05,0.0003574236689019017,25.0,3.548215318005532e-05,0.000887053829501383,0.04502251125562781,0.0,0.0,0.0,0.3702218234539032,0.0,500.0,0.08094223588705063,40.471117943525314,0.0,0.006741758901625872,0.0,0.0030015007503751876,0.09021656960248947,0.00027078510135814746,0.0,0.0,0.0
8,38.40156555175781,0.0,1.5130261090234853e-05,0.0,20.0,4.902743239654228e-05,0.0009805486479308456,20.0,8.552311192033812e-05,0.0017104622384067625,10.0,4.849441393162124e-05,0.0004849441393162124,25.0,4.802554758498445e-05,0.0012006386896246113,0.05252626313156578,0.0,0.0,0.0,0.3695324957370758,0.0,500.0,0.07679374516010284,38.39687258005142,0.0,0.006603809539228678,0.0,0.003501750875437719,0.09003572165966034,0.00031528266714238236,0.0,0.0,0.0
9,36.39533615112305,0.0,1.5099076335900463e-05,0.0,20.0,6.404803571058437e-05,0.0012809607142116874,20.0,0.00011174272367497906,0.0022348544734995812,10.0,6.309033778961748e-05,0.0006309033778961748,25.0,6.230790313566104e-05,0.001557697578391526,0.060030015007503754,0.0,0.0,0.0,0.3689221739768982,0.0,500.0,0.07277855277061462,36.38927638530731,0.0,0.006470483727753162,0.0,0.00400200100050025,0.0898568257689476,0.0003596071066291049,0.0,0.0,0.0
10,34.45534896850586,0.0,1.5103883924894035e-05,0.0,20.0,8.1079633673653e-05,0.0016215926734730601,20.0,0.0001415008882759139,0.002830017765518278,10.0,7.947733683977276e-05,0.0007947733683977276,25.0,7.823614578228444e-05,0.001955903644557111,0.06753376688344172,0.0,0.0,0.0,0.36833885312080383,0.0,500.0,0.06889548152685165,34.44774076342583,0.0,0.006341219879686832,0.0,0.004502251125562781,0.08968041837215424,0.00040376376455697255,0.0,0.0,0.0
